,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
224,"{""cam_vid_id_2334"": 9, ""cam_vid_id_2329"": 1, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:10.532721+02:00,1.5931819316551779,,76829,,,2,5,BVIEW_tracked_3d_object,-0.20521639294635996,0.15452268527097301,0.31148921455763884
225,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 5}               ",2020-10-15T19:23:10.620511+02:00,0.6231070771801834,,76830,,,2,5,BVIEW_tracked_3d_object,-0.20191067871707388,0.1565260196095168,0.32733997752422245
226,"{""cam_vid_id_2334"": 5, ""cam_vid_id_2329"": 9, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:10.673055+02:00,0.9323615442958517,,76831,,,2,5,BVIEW_tracked_3d_object,-0.2065473375171401,0.14764218192652537,0.3323020055776822
227,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 6}               ",2020-10-15T19:23:10.778492+02:00,0.960875418489894,,76832,,,2,5,BVIEW_tracked_3d_object,-0.20016935490847032,0.15641223168736684,0.3268479625830231
228,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 10, ""cam_vid_id_2336"": -1}              ",2020-10-15T19:23:10.867877+02:00,1.7866761249701435,,76833,,,2,5,BVIEW_tracked_3d_object,-0.19973282430714223,0.13158504477711647,0.3255817711962603
229,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": 1, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:10.981227+02:00,1.2294819759155131,,76834,,,2,5,BVIEW_tracked_3d_object,-0.20122066694001037,0.1350482245624677,0.3194276414940137
230,"{""cam_vid_id_2334"": 8, ""cam_vid_id_2329"": 2, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.068658+02:00,1.8337127818669186,,76835,,,2,5,BVIEW_tracked_3d_object,-0.20235947135570848,0.13381957899071806,0.3194620809337679
231,"{""cam_vid_id_2334"": 6, ""cam_vid_id_2329"": 0, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.159121+02:00,0.6448335845018494,,76836,,,2,5,BVIEW_tracked_3d_object,-0.2002523650462561,0.1349385357500889,0.31810591774662533
232,"{""cam_vid_id_2334"": 4, ""cam_vid_id_2329"": 3, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.253308+02:00,1.192379493981597,,76837,,,2,5,BVIEW_tracked_3d_object,-0.20217957378747708,0.13299209454709884,0.320112082042317
233,"{""cam_vid_id_2334"": 7, ""cam_vid_id_2329"": 4, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.387327+02:00,1.1963695024068726,,76838,,,2,5,BVIEW_tracked_3d_object,-0.20176404172933624,0.1334389268273178,0.3202264755706886
234,"{""cam_vid_id_2334"": 6, ""cam_vid_id_2329"": 0, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.496863+02:00,0.9103977791439952,,76839,,,2,5,BVIEW_tracked_3d_object,-0.19967324205554432,0.13556560035800921,0.318033186808883
235,"{""cam_vid_id_2334"": 4, ""cam_vid_id_2329"": 9, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.577834+02:00,0.7254406663921353,,76840,,,2,5,BVIEW_tracked_3d_object,-0.2021382063628014,0.12353972226552376,0.3135324417258826
236,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": 5, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.622224+02:00,0.16185557551288438,,76841,,,2,5,BVIEW_tracked_3d_object,-0.2118154128261839,0.1275440195896963,0.32712443745090214
237,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 0}               ",2020-10-15T19:23:11.654522+02:00,0.443003565665134,,76842,,,2,5,BVIEW_tracked_3d_object,-0.15397204806850565,0.1599562991125179,0.3348557924960316
238,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 3, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.682351+02:00,1.5148876917701168,,76843,,,2,5,BVIEW_tracked_3d_object,-0.1340286014350774,0.14860076945867726,0.35220258810570404
239,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 0}               ",2020-10-15T19:23:11.760917+02:00,0.7310343060454396,,76844,,,2,5,BVIEW_tracked_3d_object,-0.10121470201142835,0.1622824678852677,0.36542137351229453
240,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": 3, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.830795+02:00,1.5215569794296195,,76845,,,2,5,BVIEW_tracked_3d_object,-0.07288498853040919,0.16663696231678896,0.37896325910982864
241,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 3, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.859402+02:00,0.996859159306706,,76846,,,2,5,BVIEW_tracked_3d_object,-0.037346386932538056,0.13747723219994956,0.38727404846774144
242,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 5, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.898835+02:00,0.7338049591905262,,76847,,,2,5,BVIEW_tracked_3d_object,-0.013485867588216537,0.13539112359705177,0.3966273395316949
243,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 8, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:11.949270+02:00,0.7684215654119738,,76848,,,2,5,BVIEW_tracked_3d_object,0.04139975705032217,0.1270143758897519,0.4151523255050086
244,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 7}               ",2020-10-15T19:23:11.976822+02:00,1.4335501312774896,,76849,,,2,5,BVIEW_tracked_3d_object,0.07974660487115999,0.1631370544346752,0.41628935994098437
245,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 2, ""cam_vid_id_2336"": 5}               ",2020-10-15T19:23:12.023286+02:00,0.5608221858891804,,76850,,,2,5,BVIEW_tracked_3d_object,0.10802977359019432,0.13582903381029707,0.41664991835852977
246,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 4, ""cam_vid_id_2336"": 9}               ",2020-10-15T19:23:12.044818+02:00,1.839070575306054,,76851,,,2,5,BVIEW_tracked_3d_object,0.1472908034436591,0.12241853858958437,0.42172712324475836
247,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2336"": 3, ""cam_vid_id_2329"": 1}                ",2020-10-15T19:23:12.100714+02:00,1.0235240142440054,,76852,,,3,5,BVIEW_tracked_3d_object,0.18660601407471222,0.13003469584476385,0.41246867392854786
248,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 9, ""cam_vid_id_2336"": 2}               ",2020-10-15T19:23:12.186319+02:00,1.9775572706809001,,76853,,,2,5,BVIEW_tracked_3d_object,0.25774304160385475,0.1563045569051545,0.4099127883082548
249,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 10, ""cam_vid_id_2336"": 17}             ",2020-10-15T19:23:12.284075+02:00,1.5558978889731787,,76854,,,2,5,BVIEW_tracked_3d_object,0.2895608756208804,0.21118260231457497,0.39733786852453673
250,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 9}               ",2020-10-15T19:23:12.407579+02:00,1.0868108693665657,,76855,,,2,5,BVIEW_tracked_3d_object,0.32182117345006456,0.194595030761755,0.3859465811426626
251,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 12}              ",2020-10-15T19:23:12.615839+02:00,1.8027389115427044,,76856,,,2,5,BVIEW_tracked_3d_object,0.3488412511948793,0.204561985453345,0.3823714800295348
252,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 2, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:12.693830+02:00,1.149946450245833,,76857,,,2,5,BVIEW_tracked_3d_object,0.39766732710990055,0.20853779271571857,0.35178994745229086
253,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 0}               ",2020-10-15T19:23:12.803172+02:00,1.3500583309989187,,76858,,,2,5,BVIEW_tracked_3d_object,0.4498618385984493,0.2091415740002224,0.34471648911367536
254,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 1}               ",2020-10-15T19:23:12.888120+02:00,0.7106691944363641,,76859,,,2,5,BVIEW_tracked_3d_object,0.47134431887139,0.2113116709408881,0.3279805838836663
255,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": 6, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:13.027811+02:00,1.0122969443171352,,76860,,,2,5,BVIEW_tracked_3d_object,0.47708341425705925,0.2187418565476232,0.3233848427873416
256,"{""cam_vid_id_2334"": 4, ""cam_vid_id_2329"": 12, ""cam_vid_id_2336"": -1}              ",2020-10-15T19:23:13.104199+02:00,0.9364359802522667,,76861,,,2,5,BVIEW_tracked_3d_object,0.46565403937388156,0.2209123784064631,0.3245941789460529
257,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 13}              ",2020-10-15T19:23:13.181477+02:00,1.5597238920733036,,76862,,,2,5,BVIEW_tracked_3d_object,0.46899195226843976,0.20947757818165744,0.3247904268427388
258,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": 6, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:13.239475+02:00,1.3008508503770106,,76863,,,2,5,BVIEW_tracked_3d_object,0.46351378635680907,0.20214389698269547,0.3298461237850668
259,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 2}               ",2020-10-15T19:23:13.315289+02:00,1.5746561338936513,,76864,,,2,5,BVIEW_tracked_3d_object,0.469562005587203,0.20856699846472024,0.32949225489061806
260,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 5, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:13.408332+02:00,1.8659800622445597,,76865,,,2,5,BVIEW_tracked_3d_object,0.47689319870755514,0.21021377422033055,0.32667652208095527
261,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 7, ""cam_vid_id_2336"": 0}               ",2020-10-15T19:23:13.545786+02:00,1.2801370384353457,,76866,,,2,5,BVIEW_tracked_3d_object,0.4843699323577807,0.20153878142427079,0.3268257918698006
262,"{""cam_vid_id_2334"": 0, ""cam_vid_id_2329"": 9, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:13.769087+02:00,0.8955278982237957,,76867,,,2,5,BVIEW_tracked_3d_object,0.4842254464002338,0.20076339703389712,0.32376964743491865
263,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 9, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:13.952587+02:00,1.0461864474377014,,76868,,,2,5,BVIEW_tracked_3d_object,0.49203399121614366,0.19069205776175913,0.3246833176212262
264,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": 8, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:14.024775+02:00,1.4435252021695997,,76869,,,2,5,BVIEW_tracked_3d_object,0.48514611250886386,0.20599689495027054,0.32248792519356007
265,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 3}               ",2020-10-15T19:23:14.176800+02:00,0.1628702696011386,,76870,,,2,5,BVIEW_tracked_3d_object,0.4558671299370135,0.2074339799176287,0.3240242207982171
266,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 13}              ",2020-10-15T19:23:14.242384+02:00,1.55690022363901,,76871,,,2,5,BVIEW_tracked_3d_object,0.39885371552081195,0.19775890458465553,0.32259885781419834
267,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": 2, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:14.342966+02:00,0.6187647871649222,,76872,,,2,5,BVIEW_tracked_3d_object,0.36703466973512805,0.20391661725902954,0.31744950895656054
268,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": 10, ""cam_vid_id_2336"": -1}              ",2020-10-15T19:23:14.412159+02:00,0.03633083463763581,,76873,,,2,5,BVIEW_tracked_3d_object,0.31500343429362426,0.20608345707771783,0.30926841835138386
269,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 6}               ",2020-10-15T19:23:14.506878+02:00,1.1866927556667164,,76874,,,2,5,BVIEW_tracked_3d_object,0.26157315486367955,0.20963117094637804,0.3032241368921225
270,"{""cam_vid_id_2334"": 4, ""cam_vid_id_2329"": 2, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:14.622813+02:00,0.21235753418682635,,76875,,,2,5,BVIEW_tracked_3d_object,0.2146993273799227,0.18894677705463309,0.29737351584952904
271,"{""cam_vid_id_2334"": 5, ""cam_vid_id_2329"": 5, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:14.760266+02:00,1.088829840417243,,76876,,,2,5,BVIEW_tracked_3d_object,0.17797992955757194,0.19251534613956844,0.28587788496736444
272,"{""cam_vid_id_2334"": 4, ""cam_vid_id_2329"": 15, ""cam_vid_id_2336"": -1}              ",2020-10-15T19:23:14.853184+02:00,1.8445838453089693,,76877,,,2,5,BVIEW_tracked_3d_object,0.13188618198529609,0.21665812442306367,0.26582428292277355
273,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 9}               ",2020-10-15T19:23:14.952930+02:00,1.2601573109456345,,76878,,,2,5,BVIEW_tracked_3d_object,0.060440185789998116,0.19666537251324426,0.24095863012455823
274,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 3}               ",2020-10-15T19:23:15.104076+02:00,1.6203035506746433,,76879,,,2,5,BVIEW_tracked_3d_object,0.02794617872608963,0.20602890759172224,0.21901375913520066
275,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 4, ""cam_vid_id_2336"": 2}               ",2020-10-15T19:23:15.222194+02:00,1.7414827163536342,,76880,,,2,5,BVIEW_tracked_3d_object,-0.015826348224170082,0.2052897369722573,0.19008512250758117
276,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": 11, ""cam_vid_id_2336"": -1}              ",2020-10-15T19:23:15.296640+02:00,1.8293541654884984,,76881,,,2,5,BVIEW_tracked_3d_object,-0.06989961079171506,0.2124651449656523,0.16307250949346344
277,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 4}               ",2020-10-15T19:23:15.334080+02:00,0.6455930191525462,,76882,,,2,5,BVIEW_tracked_3d_object,-0.09328226562766286,0.21531512727966756,0.1451183757395838
278,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 7, ""cam_vid_id_2336"": 0}               ",2020-10-15T19:23:15.488540+02:00,1.572329788583105,,76883,,,2,5,BVIEW_tracked_3d_object,-0.15223847347216077,0.1937869520830439,0.10900604530996343
279,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": 6, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:15.678145+02:00,0.9614386382355498,,76884,,,2,5,BVIEW_tracked_3d_object,-0.15070119785409966,0.19263656815178815,0.10708718184743074
280,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": 7, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:15.762685+02:00,0.4360205937764573,,76885,,,2,5,BVIEW_tracked_3d_object,-0.1508773068842034,0.20574467782726455,0.11864286689814413
281,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 10, ""cam_vid_id_2336"": 5}              ",2020-10-15T19:23:15.940442+02:00,1.3163854370126564,,76886,,,2,5,BVIEW_tracked_3d_object,-0.15426083561430612,0.21824293714593873,0.1138838961448007
282,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 12, ""cam_vid_id_2336"": -1}              ",2020-10-15T19:23:15.994907+02:00,0.10616165728831183,,76887,,,2,5,BVIEW_tracked_3d_object,-0.1551628389578033,0.21925376813603173,0.11552899482381024
283,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2336"": 15, ""cam_vid_id_2329"": 0}               ",2020-10-15T19:23:16.160897+02:00,3.330414592475414,,76888,,,3,5,BVIEW_tracked_3d_object,-0.1552679296245882,0.21944548503309455,0.11404804799514101
284,"{""cam_vid_id_2334"": 5, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 0}               ",2020-10-15T19:23:16.289279+02:00,0.8181717980524125,,76889,,,2,5,BVIEW_tracked_3d_object,-0.15380473590741406,0.2217136490935618,0.10956035733394034
285,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 8, ""cam_vid_id_2336"": 10}              ",2020-10-15T19:23:16.391775+02:00,0.747466328337041,,76890,,,2,5,BVIEW_tracked_3d_object,-0.14713050872196112,0.2479311289718791,0.1041296640993329
286,"{""cam_vid_id_2334"": 3, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 9}               ",2020-10-15T19:23:16.530136+02:00,0.12745818159799308,,76891,,,2,5,BVIEW_tracked_3d_object,-0.1451012274607983,0.25514284542437216,0.10560803125655559
287,"{""cam_vid_id_2334"": 5, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": 12}              ",2020-10-15T19:23:16.695996+02:00,0.6944763126480451,,76892,,,2,5,BVIEW_tracked_3d_object,-0.1415942562960983,0.23455568670723945,0.10321864327723515
288,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": 10, ""cam_vid_id_2336"": -1}              ",2020-10-15T19:23:16.812968+02:00,3.547248426273315,,76893,,,2,5,BVIEW_tracked_3d_object,-0.1566732060956533,0.21935579249748488,0.10538996720922253
289,"{""cam_vid_id_2334"": 1, ""cam_vid_id_2329"": 5, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:16.897593+02:00,1.9665750806538256,,76894,,,2,5,BVIEW_tracked_3d_object,-0.1537958385546467,0.22020153664804668,0.11122737045067548
290,"{""cam_vid_id_2334"": 0, ""cam_vid_id_2336"": 12, ""cam_vid_id_2329"": 9}               ",2020-10-15T19:23:17.124473+02:00,1.7610771962922078,,76895,,,3,5,BVIEW_tracked_3d_object,-0.13966436546043035,0.23900092546667828,0.12251097904597172
291,"{""cam_vid_id_2334"": 5, ""cam_vid_id_2329"": 0, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:17.299673+02:00,0.9820737647737832,,76896,,,2,5,BVIEW_tracked_3d_object,-0.12165658509928656,0.2807761237438044,0.1280146239085527
292,"{""cam_vid_id_2334"": 2, ""cam_vid_id_2329"": 2, ""cam_vid_id_2336"": -1}               ",2020-10-15T19:23:17.355288+02:00,1.123380524175459,,76897,,,2,5,BVIEW_tracked_3d_object,-0.09598348973426075,0.32029434540027946,0.13599768943760615
293,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 3, ""cam_vid_id_2336"": 11}              ",2020-10-15T19:23:17.504100+02:00,1.0216963514712134,,76898,,,2,5,BVIEW_tracked_3d_object,-0.08453478804440571,0.4084220946790542,0.14073579095200242
294,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": 5, ""cam_vid_id_2336"": 3}               ",2020-10-15T19:23:17.644831+02:00,0.4284653271371503,,76899,,,2,5,BVIEW_tracked_3d_object,-0.061976175924692276,0.4205878494127409,0.14040688089496853
295,"{""cam_vid_id_2334"": -1, ""cam_vid_id_2329"": -1, ""cam_vid_id_2336"": -1}             ",2020-10-15T19:23:17.717098+02:00,0.4284653271371503,,76900,,,0,5,BVIEW_tracked_3d_object,-0.061976175924692276,0.4205878494127409,0.14040688089496853
