,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
0,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": 0, ""cam_vid_id_2311"": 0}               ",2020-10-18T08:29:50.425954+02:00,1.1719505232417646,,163790,,,2,0,BVIEW_tracked_3d_object,0.8869361271674724,0.2085447752783774,0.21300638835107422
1,"{""cam_vid_id_2308"": 0, ""cam_vid_id_2309"": -1, ""cam_vid_id_2311"": 0}               ",2020-10-18T08:29:50.431062+02:00,0.9581000092951073,,163792,,,2,0,BVIEW_tracked_3d_object,0.8964299778480028,0.2208343756582553,0.21456753223778507
2,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": 0, ""cam_vid_id_2311"": 0}               ",2020-10-18T08:29:50.436099+02:00,1.5402091531460438,,163794,,,2,0,BVIEW_tracked_3d_object,0.8443407066148991,0.24010617571607673,0.23712706673520687
3,"{""cam_vid_id_2308"": 0, ""cam_vid_id_2309"": 0, ""cam_vid_id_2311"": -1}               ",2020-10-18T08:29:50.441123+02:00,0.8081743067266083,,163796,,,2,0,BVIEW_tracked_3d_object,0.794961612812571,0.30970828380314175,0.27671434434493886
4,"{""cam_vid_id_2308"": 0, ""cam_vid_id_2309"": -1, ""cam_vid_id_2311"": 0}               ",2020-10-18T08:29:50.445909+02:00,1.963197407130508,,163798,,,2,0,BVIEW_tracked_3d_object,0.7505642975398128,0.4217498705861765,0.3144991991229739
5,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": -1, ""cam_vid_id_2311"": -1}             ",2020-10-18T08:29:50.450359+02:00,1.963197407130508,,163800,,,0,0,BVIEW_tracked_3d_object,0.7505642975398128,0.4217498705861765,0.3144991991229739
6,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": -1, ""cam_vid_id_2311"": -1}             ",2020-10-18T08:29:50.455083+02:00,1.963197407130508,,163802,,,0,0,BVIEW_tracked_3d_object,0.7505642975398128,0.4217498705861765,0.3144991991229739
7,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": 0, ""cam_vid_id_2311"": 0}               ",2020-10-18T08:29:50.459874+02:00,0.5085597875430372,,163804,,,2,0,BVIEW_tracked_3d_object,0.5558140436608218,0.5882484274130818,0.34695989161889457
8,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": -1, ""cam_vid_id_2311"": -1}             ",2020-10-18T08:29:50.464460+02:00,0.5085597875430372,,163806,,,0,0,BVIEW_tracked_3d_object,0.5558140436608218,0.5882484274130818,0.34695989161889457
9,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": -1, ""cam_vid_id_2311"": -1}             ",2020-10-18T08:29:50.468922+02:00,0.5085597875430372,,163808,,,0,0,BVIEW_tracked_3d_object,0.5558140436608218,0.5882484274130818,0.34695989161889457
10,"{""cam_vid_id_2308"": -1, ""cam_vid_id_2309"": 0, ""cam_vid_id_2311"": 0}               ",2020-10-18T08:29:50.478550+02:00,0.8202666440628199,,163812,,,2,1,BVIEW_tracked_3d_object,0.40088878175366743,0.7855496831379588,0.31636831562892825
