filename,sapID,x,y,ID,spider,vidGroup,x_min,x_max,y_min,y_max
20180204_080902_displ3,1,0.1,0.22,HIL02,1,1,,,,
20180204_080902_displ3,2,-0.46,0.5,HIL02,1,1,,,,
20180204_080902_displ3,3,0.11,1.07,HIL02,1,1,,,,
20180204_080902_displ3,4,0.62,0.68,HIL02,1,1,,,,
20180204_080902_displ3,G,0.07,0.48,HIL02,1,1,,,,
20180204_080441_displ2,1,0.14,0.22,HIL02,,1,,,,
20180204_080441_displ2,2,-0.44,0.49,HIL02,,1,,,,
20180204_080441_displ2,3,0.13,1.09,HIL02,,1,,,,
20180204_080441_displ2,4,0.61,0.67,HIL02,,1,,,,
20180204_080441_displ2,G,0.1,0.33,HIL02,,1,,,,

20180208_150934_displ1,1,0.87,0.22,CAN04,1,2,,,,
20180208_150934_displ1,2,0.4,0.77,CAN04,1,2,,,,
20180208_150934_displ1,4,1.04,0.81,CAN04,1,2,,,,
20180208_150934_displ1,G,0.71,0.33,CAN04,1,2,,,,

20180208_152312_displ2,1,0.87,0.21,CAN04,1,2,,,0.1,
20180208_152312_displ2,2,0.39,0.79,CAN04,1,2,,,0.1,
20180208_152312_displ2,4,1.04,0.82,CAN04,1,2,,,0.1,
20180208_152312_displ2,G,0.54,0.50,CAN04,1,2,,,0.1,

20180208_152336_displ3,1,0.88,0.23,CAN04,1,2,,,,
20180208_152336_displ3,3,0.61,0.91,CAN04,1,2,,,,
20180208_152336_displ3,4,1.02,0.82,CAN04,1,2,,,,
20180208_152336_displ3,G,0.72,0.34,CAN04,1,2,,,,
20180208_152399_displ4,1,0.88,0.2,CAN04,1,2,,,,
20180208_152399_displ4,3,0.61,0.91,CAN04,1,2,,,,
20180208_152399_displ4,4,1.01,0.79,CAN04,1,2,,,,
20180208_152399_displ4,G,0.72,0.34,CAN04,1,2,,,,

20180209_135903_displ1,1,0.03,0.81,CAN04,1,3,,0.5,,0.98
20180209_135903_displ1,2,0.46,0.22,CAN04,1,3,,0.5,,0.98
20180209_135903_displ1,4,-0.2,0.16,CAN04,1,3,,0.5,,0.98
20180209_135903_displ1,G,0.23,0.64,CAN04,1,3,,0.5,,0.98
20180209_140502_displ2,1,0.07,0.8,CAN04,1,3,,,,
20180209_140502_displ2,2,0.48,0.20,CAN04,1,3,,,,
20180209_140502_displ2,4,-0.16,0.22,CAN04,1,3,,,,
20180209_140502_displ2,G,0.24,0.66,CAN04,1,3,,,,
20180209_153318_displ4,1,0.09,0.81,CAN04,1,3,,,,
20180209_153318_displ4,2,0.5,0.2,CAN04,1,3,,,,
20180209_153318_displ4,3,0.26,0.06,CAN04,1,3,,,,
20180209_153318_displ4,4,-0.15,0.24,CAN04,1,3,,,,
20180209_153318_displ4,G,0.24,0.66,CAN04,1,3,,,,

20180210_150444_displ1,1,0.18,0.9,CAN04,1,4,,,,
20180210_150444_displ1,2,0.51,0.26,CAN04,1,4,,,,
20180210_150444_displ1,4,-0.14,0.3,CAN04,1,4,,,,
20180210_150444_displ1,G,0.29,0.72,CAN04,1,4,,,,

20180220_145831_displ8,1,0.43,-0.08,CAN04,1,5,,,,
20180220_145831_displ8,2,0.33,0.68,CAN04,1,5,,,,
20180220_145831_displ8,4,0.88,0.35,CAN04,1,5,,,,
20180220_145831_displ8,G,0.34,0.12,CAN04,1,5,,,,
20180220_160522_displ12,1,0.43,-0.07,CAN04,1,5,,,,
20180220_160522_displ12,2,0.35,0.68,CAN04,1,5,,,,
